739.09265,1052,
739.21228,1041,
739.33191,1044,
739.45154,1046,
739.57117,1045,
739.6908,1049,
739.81042,1056,
739.93005,1047,
740.04968,1036,
740.16931,1047,
740.28894,1039,
740.40851,1041,
740.52814,1041,
740.64777,1051,
740.7674,1054,
740.88702,1040,
741.00659,1048,
741.12622,1056,
741.24585,1049,
741.36548,1043,
741.48505,1040,
741.60468,1039,
741.7243,1056,
741.84387,1049,
741.9635,1040,
742.08307,1043,
742.2027,1046,
742.32227,1044,
742.44189,1041,
742.56146,1043,
742.68109,1048,
742.80066,1048,
742.92023,1049,
743.03986,1047,
743.15942,1039,
743.27905,1047,
743.39862,1040,
743.51819,1044,
743.63776,1050,
743.75739,1047,
743.87695,1046,
743.99652,1046,
744.11609,1051,
744.23566,1047,
744.35522,1035,
744.47485,1054,
744.59442,1046,
744.71399,1046,
744.83356,1046,
744.95313,1039,
745.07269,1039,
745.19226,1043,
745.31183,1053,
745.43134,1048,
745.5509,1050,
745.67047,1044,
745.79004,1039,
745.90961,1051,
746.02917,1043,
746.14868,1047,
746.26825,1043,
746.38782,1040,
746.50739,1053,
746.62689,1041,
746.74646,1053,
746.86597,1039,
746.98553,1041,
747.1051,1053,
747.22461,1044,
747.34418,1046,
747.46368,1050,
747.58325,1057,
747.70276,1040,
747.82227,1044,
747.94183,1047,
748.06134,1045,
748.18091,1035,
748.30042,1043,
748.41992,1046,
748.53949,1041,
748.659,1045,
748.7785,1041,
748.89801,1045,
749.01752,1045,
749.13702,1035,
749.25659,1049,
749.3761,1045,
749.49561,1050,
749.61511,1045,
749.73462,1039,
749.85413,1050,
749.97363,1037,
750.09314,1061,
750.21265,1047,
750.33215,1037,
750.4516,1049,
750.57111,1035,
750.69061,1051,
750.81012,1050,
750.92963,1049,
751.04907,1046,
751.16858,1039,
751.28809,1046,
751.40759,1046,
751.52704,1047,
751.64655,1046,
751.76599,1043,
751.8855,1051,
752.00494,1043,
752.12445,1051,
752.2439,1048,
752.3634,1050,
752.48285,1049,
752.60236,1053,
752.7218,1051,
752.84131,1057,
752.96075,1054,
753.0802,1066,
753.19965,1069,
753.31915,1077,
753.4386,1078,
753.55804,1082,
753.67749,1073,
753.79694,1071,
753.91644,1074,
754.03589,1074,
754.15533,1091,
754.27478,1079,
754.39423,1089,
754.51367,1086,
754.63312,1099,
754.75256,1117,
754.87201,1139,
754.99139,1243,
755.11084,1486,
755.23029,1694,
755.34973,1900,
755.46918,1622,
755.58856,1326,
755.70801,1184,
755.82745,1168,
755.94684,1152,
756.06628,1148,
756.18573,1181,
756.30511,1174,
756.42456,1150,
756.54395,1158,
756.66339,1157,
756.78278,1144,
756.90222,1158,
757.02161,1145,
757.14105,1160,
757.26044,1166,
757.37982,1160,
757.49927,1154,
757.61865,1154,
757.73804,1163,
757.85742,1180,
757.97687,1198,
758.09625,1234,
758.21564,1373,
758.33502,1697,
758.45441,2025,
758.57379,1985,
758.69318,1779,
758.81256,1401,
758.93195,1225,
759.05133,1184,
759.17072,1158,
759.2901,1163,
759.40948,1159,
759.52881,1156,
759.64819,1144,
759.76758,1138,
759.88696,1147,
760.00635,1150,
760.12567,1146,
760.24506,1170,
760.36438,1174,
760.48376,1172,
760.60315,1177,
760.72247,1177,
760.84186,1183,
760.96118,1160,
761.08057,1138,
761.19989,1173,
761.31921,1193,
761.4386,1536,
